id,ingri,price,subscribe,bigcat,smallcat,imageurl,quantity,keyword
71,뿌리손질 새송이버섯 300g X 2봉,"3,690원",손질 없이 사용하는 간편 식재료,채소,,https://img-cf.kurly.com/shop/data/goods/1583479791732l0.jpg,2봉,새송이버섯
72,흙연근 600g,"5,590원",다양하게 요리하는 통연근,채소,,https://img-cf.kurly.com/shop/data/goods/162121775358l0.jpg,600g,흙연근
73,[피그인더가든] 시그니처 로스트비프 보울,"6,500원",토핑 가득 든든한 비프 샐러드,채소,,https://img-cf.kurly.com/shop/data/goods/1618393803136l0.jpg,,샐러드
74,[피그인더가든] 로스트비프 볼,"4,800원",손쉽게 즐기는 다채로운 토핑,채소,,https://img-cf.kurly.com/shop/data/goods/162821530941l0.jpg,,샐러드
75,[피그인더가든] 불고기 누들 볼,"4,800원",퓨전 한식 스타일의 샐러드,채소,,https://img-cf.kurly.com/shop/data/goods/162821519293l0.jpg,,샐러드
76,[피그인더가든] 그릴치킨 아몬드 볼,"4,800원",고소한 풍미가 돋보이는 샐러드,채소,,https://img-cf.kurly.com/shop/data/goods/1628214231903l0.jpg,,샐러드
77,[피그인더가든] 고구마 치킨 콥 볼,"4,800원",간편하면서도 든든한 한 끼,채소,,https://img-cf.kurly.com/shop/data/goods/1628214954849l0.jpg,,샐러드
78,[달콤한 밤의여왕] 아이스군밤 500g,"8,900원",다채롭게 즐기는 군밤의 매력,채소,,https://img-cf.kurly.com/shop/data/goods/1620615618849l0.jpg,500g,아이스군밤
79,[피그인더가든] 쉬림프 에그 볼,"4,800원",다채로운 식감을 전하는 샐러드,채소,,https://img-cf.kurly.com/shop/data/goods/1628214455463l0.jpg,,샐러드
80,유기농 와일드 루꼴라 50g,"3,990원",독특한 모양새에 깃든 향긋한 풍미,채소,,https://img-cf.kurly.com/shop/data/goods/1617758626846l0.jpg,50g,루꼴라
81,왕당근 2입,"2,490원",넉넉하게 즐기는 만능 식재료,채소,,https://img-cf.kurly.com/shop/data/goods/1616381260762l0.jpg,2입,왕당근
82,[생채움] 맛있는 숙주나물 380g,"1,450원",시원한 매력을 더하는 채소,채소,,https://img-cf.kurly.com/shop/data/goods/1618393248774l0.jpg,380g,숙주나물
83,냉동 그릴드 바밤 단호박 320g,"5,300원",불에 구워 달콤함이 살아있는,채소,,https://img-cf.kurly.com/shop/data/goods/1613444214459l0.jpg,320g,단호박
84,[맛꾼푸드] 아이스 엿구마 2종 (냉동),"2,660원",간편하게 군고구마를 즐길 수 있는 냉동 고구마(2종),채소,,https://img-cf.kurly.com/shop/data/goods/1571130741692l0.jpg,,엿구마
85,친환경 인증 다진마늘 1팩,"4,500원",쏙쏙 꺼내 쓰는 국내산 마늘 큐브,채소,,https://img-cf.kurly.com/shop/data/goods/1618376704252l0.jpg,1팩,다진마늘
86,GAP 장수 숙주나물 200g,"1,390원",싱싱함이 살아있는 시원한 맛,채소,,https://img-cf.kurly.com/shop/data/goods/1615532613946l0.jpg,200g,숙주나물
87,전골용 모둠 버섯 200g,"2,290원",뜨끈한 국물 요리를 위한 간편 버섯,채소,,https://img-cf.kurly.com/shop/data/goods/1616400818963l0.jpg,200g,버섯
88,[Kurly's] 냉동 다진 청양고추,"5,200원",간편하게 더하는 알싸한 매력,채소,,https://img-cf.kurly.com/shop/data/goods/1617241499380l0.jpg,,청양고추
89,친환경 손질 유러피안 샐러드 6종,"2,350원",유럽종 채소가 전하는 싱그러움,채소,,https://img-cf.kurly.com/shop/data/goods/1597040781844l0.jpg,,샐러드
90,유기농 달수 고구마 1봉 800g,"6,990원",점점 달콤하고 쫀쫀해지는,채소,,https://img-cf.kurly.com/shop/data/goods/1605670640847l0.jpg,800g,고구마
91,꽈리고추 200g,"3,490원",볶아먹으면 더욱 맛있는 맵쌀달콤 꽈리고추,채소,,https://img-cf.kurly.com/shop/data/goods/1609900826206l0.jpg,200g,꽈리고추
92,친환경 GAP 해송이버섯 180g,"2,490원",쫄깃한 식감에 영양도 만점,채소,,https://img-cf.kurly.com/shop/data/goods/1617685329388l0.jpg,180g,해송이버섯
93,친환경 완두콩 180g (냉동),"6,500원",일년내내 즐기는 국내산 완두콩(1봉/180g),채소,,https://img-cf.kurly.com/shop/data/goods/1536914308220l0.jpg,180g,완두콩
94,친환경 황금 팽이버섯 200g,"2,090원",황금빛 버섯갓에 담긴 진한 향,채소,,https://img-cf.kurly.com/shop/data/goods/1617684669507l0.jpg,200g,팽이버섯
95,친환경 이슬송이버섯 200g,"4,990원",송이와 표고의 풍미를 동시에,채소,,https://img-cf.kurly.com/shop/data/goods/1617610293151l0.jpg,200g,이슬송이버섯
96,친환경 향표고버섯 슬라이스 150g,"4,990원",풍미를 가득 담은 간편 버섯,채소,,https://img-cf.kurly.com/shop/data/goods/1617610117231l0.jpg,150g,향표고버섯
