,name,ingridient
58,고추잡채와꽃빵,['청고추' '홍고추' '오이' '당근' '새우' '참기름' '후춧가루' '굴소스' '꽃빵' '새송이버섯' '청주' '포도씨유']
59,두부파프리카전,['포도씨유' '두부' '파프리카' '식초' '소금' '후춧가루' '간장' '칵테일새우']
60,참치죽,['참치통조림' '당근' '감자' '표고버섯' '불린쌀' '애호박' '국간장' '깨소금' '실파' '물' '다시마' '참기름']
61,고추장닭강정,"['닭' '맛술' '맛술' '소금' '후춧가루' '호두' '계란' '녹말가루' '튀김가루' '카레가루' '고추장' '토마토케첩'
 '물엿' '꿀' '물' '식초' '다진마늘' '고추기름' '우유']"
62,된장채소수제비,"['다진마늘' '물' '국간장' '소금' '후춧가루' '밀가루' '물' '된장' '표고버섯' '감자' '대파' '양파' '청고추'
 '홍고추' '국물용멸치' '참기름']"
63,치킨샐러드,"['닭가슴살' '양상추' '겨자잎' '양파' '당근' '오이' '마른고추' '허니머스터드' '레몬즙' '설탕' '소금' '청주'
 '다진마늘' '오렌지']"
64,무쌈말이,"['비트' '절임무' '오이' '게맛살' '파프리카' '네모난햄' '레몬즙' '계란' '땅콩버터' '꿀' '설탕' '식초' '깨소금'
 '무순']"
65,바베큐립,['돼지등갈비' '샐러리' '양파' '마늘' '후춧가루' '레드와인' '올리브오일' '소금' '바베큐소스']
66,부추올리브오일무침,['부추' '올리브오일' '[양념장] 다진파' '다진마늘' '통깨' '식초' '고춧가루' '설탕' '간장']
67,버섯잡채,"['팽이버섯' '식용유' '청피망' '홍피망' '간장' '표고버섯' '다진마늘' '참기름' '소금' '후춧가루' '느타리버섯'
 '설탕']"
68,가지김치,['가지' '부추' '다진파' '다진마늘' '소금' '고춧가루' '액젓' '설탕' '다진생강']
69,상추미소국,['상추' '미소된장' '실파' '가다랑이포' '두부' '다시마']
70,크림소스파스타,['파스타' '생크림' '양파' '후춧가루' '다진마늘' '베이컨' '우유' '버터' '소금']
71,녹두고물호박떡케이크,['멥쌀가루' '물' '소금' '단호박' '녹두' '설탕']
72,토란닭고기찜,['토란탕' '표고버섯' '닭고기' '우엉' '당근' '식용유' '맛술' '설탕' '생강즙' '청주' '간장']
73,삼색나물월남쌈,['시금치나물' '도라지나물' '고사리나물' '고기산적' '소스' '깻잎' '양파' '오이' '라이스페이퍼' '당근']
74,소꼬리찜,['소꼬리' '사골' '마늘' '대파' '밤' '청양고추' '대추']
75,왕새우구이와구운채소,"['소금' '버터' '샐러드오일' '통후추' '대하' '아스파라거스' '새송이버섯' '느타리버섯' '애호박' '가지' '감자'
 '마늘' '타임' '바질' '와사비']"
76,전어회무침,['전어' '무' '미나리' '청고추' '콩가루' '고춧가루' '양파' '고추장' '다진마늘' '설탕' '전어젓갈' '통깨' '식초']
77,대대로닭칼국수,['날콩가루' '밀가루' '닭' '소금' '통파' '생강' '오이' '닭발']
78,서리태콩국수,['서리태콩' '소면' '참깨' '오이' '토마토' '소금']
79,모듬콩수프,['콩' '깨' '잣' '소금' '식빵' '버터' '후춧가루' '호두']
80,우무콩냉국,['우무' '콩' '깨' '소금' '생수' '오이' '잣']
81,녹차콩국수,['메주콩' '녹차국수' '오이' '소금' '물' '육수' '방울토마토']
82,시금치나물,['대파' '홍고추' '통깨' '멸치액젓' '시금치' '물' '소금' '참기름']
83,죽순회와미나리강회,['죽순' '미나리' '계란' '쌀뜨물' '[초고추장] 고추장' '설탕' '식초' '홍고추']
84,전복죽,['전복' '쌀' '물' '김' '소금' '깨소금' '실파' '참기름']
85,새우죽,['쌀' '새우' '물' '참기름' '소금']
86,낙지연포탕,['낙지' '모시조개' '배추' '참기름' '소금' '청고추' '홍고추' '소금' '대파' '다진마늘']
87,시금치계란말이,['시금치' '계란' '올리브오일' '소금' '게맛살']
88,돼지갈비레몬찜,['돼지갈비' '다진마늘' '저민마늘' '마른고추' '올리브오일' '화이트와인' '물' '소금' '후춧가루' '레몬']
89,파프리카볶음밥,['파프리카' '찬밥' '감자' '호박' '올리브오일' '양파' '당근' '소금' '후춧가루' '피망']
90,붉은갓동치미,['배' '양파' '마늘' '생강' '고운소금' '굵은소금' '붉은갓' '삭힌고추' '물' '무']
91,깻잎말이김치,['깻잎' '밤' '홍고추' '청고추' '다진마늘' '대추' '물' '양파' '다진생강' '멸치' '멸치액젓' '설탕' '대파']
92,된장찌개,['멸치' '다시마' '표고버섯' '애호박' '청고추' '홍고추' '두부' '순창콩된장' '고춧가루' '다진마늘' '대파' '참기름']
93,근대된장국,['근대' '쇠고기' '다진마늘' '멸치' '고춧가루' '된장' '고추장' '대파']
94,고구마강정,['고구마' '시럽' '튀김기름' '호박씨' '건포도']
95,고추장,['메주콩' '멥쌀' '엿기름' '고춧가루' '소금' '찹쌀가루']
96,된장,['소금' '메주']
97,간장,['메주콩' '소금' '숯' '마른고추' '물']
98,얼갈이열무물김치,"['물' '설탕' '양파' '마늘' '생강' '미나리' '정종' '열무' '얼갈이배추' '굵은소금' '청고추' '홍고추' '쪽파'
 '물' '꽃소금' '밀가루']"
99,깻잎조림,['깻잎' '간장' '물' '들기름' '청고추' '홍고추' '조청']
100,쌀국수,"['쌀국수' '통계피' '대파' '쇠고기' '청고추' '피시소스' '고수잎' '소금' '[쇠고기육수] 쇠뼈' '쇠꼬리' '양파'
 '생강' '팔각' '정향' '숙주']"
101,마늘볶음국수,['우동면' '양파' '청고추' '홍고추' '간마늘' '버터' '숙주' '굴소스' '간장' '맛술' '간생강']
102,수삼치즈샐러드,"['수삼' '크림치즈' '양상추' '마요네즈' '적채' '치커리' '무,래디쉬']"
103,채소치즈죽,['햄' '양파' '청피망' '홍피망' '후춧가루' '치즈' '파슬리가루' '소금' '밥']
104,치즈멸치볼,['잔멸치' '간장' '설탕' '밥' '깨소금' '치즈' '식용유']
105,새우겨자채,['새우' '석이버섯' '팽이버섯' '오이' '당근' '양상추' '소금' '무순' '배' '겨자' '식초' '설탕' '부추']
106,갈치조림,"['갈치' '물엿' '애호박' '당근' '대파' '양파' '홍고추' '청고추' '굵은고춧가루' '고운고춧가루' '설탕' '다진생강'
 '다진마늘' '정종' '된장' '후춧가루' '소금' '간장' '무']"
107,갈치구이,['갈치' '소금' '밀가루' '레몬' '후춧가루']
108,고등어조림,"['고등어' '소금' '애호박' '당근' '대파' '양파' '홍고추' '풋고추' '팽이버섯' '간장' '굵은고춧가루' '고운고춧가루'
 '설탕' '물엿' '생강' '마늘' '정종' '된장' '후춧가루' '무']"
109,고등어양념구이,"['정종' '청고추' '마늘' '참기름' '깨소금' '물엿' '고등어' '간장' '굵은고춧가루' '고운고춧가루' '대파' '양파'
 '실파' '홍고추' '생강']"
110,돌솥비빔밥,"['애호박' '고추장' '도라지' '숙주' '시금치' '고사리' '상추' '육회' '계란후라이' '다진파' '다진마늘' '깨소금'
 '후춧가루' '참기름' '설탕' '취나물']"
111,낙지불고기,"['쇠고기' '육수' '당근' '양파' '홍고추' '콩나물' '애호박' '팽이버섯' '쑥갓' '간장' '설탕' '다진파' '다진마늘'
 '고춧가루' '고추장' '생강즙' '깨소금' '후춧가루' '낙지']"
112,무말랭이무침,['무말랭이' '다진파' '다진마늘' '간장' '설탕' '깨소금' '멸치액젓' '고춧가루' '고추장']
113,다시마채소말이,['쌈다시마' '오징어' '게맛살' '오이' '파프리카' '초고추장' '홍피망']
114,돼지고기우엉말이조림,['고춧가루' '정종' '설탕' '다시물' '우엉' '돼지고기' '간장' '생강즙']
115,꽃상추쌈,['상추' '밥' '다진쇠고기' '다진양파' '간장' '고추장' '다진파' '다진마늘' '깨소금' '참기름' '설탕']
116,양파전,['양파' '다진쇠고기' '두부' '다진파' '다진마늘' '홍고추' '소금' '참기름' '후춧가루' '밀가루' '계란' '깨소금']
117,봄동겉절이,['봄동' '영양부추' '고춧가루' '까나리액젓' '깨소금' '다진마늘' '다진파' '다진생강' '참기름' '새우젓']
118,북어해장국밥,['멸치다시물' '콩나물' '다진마늘' '다진파' '홍고추' '국간장' '소금' '후춧가루' '북어']
119,통마늘장아찌,['통마늘' '식초' '설탕' '식초' '[절임간장] 진간장' '설탕' '멸치']
120,생선전,['대구살' '계란' '쑥갓' '식용유' '후춧가루' '밀가루' '소금']
121,생굴채소무침,['마늘' '배추' '파슬리' '양념' '굴' '배' '오이' '청고추' '홍고추' '실파' '생밤']
122,고등어튀김케첩조림,['고등어' '생강' '피망' '양파' '실파' '마늘' '육수' '설탕' '녹말' '간장' '토마토케찹']
123,쇠고기덮밥,['쇠고기' '양파' '대파' '표고버섯' '다진마늘' '간장' '밥' '설탕' '소금' '참기름' '후춧가루' '깨소금' '맛술']
